video_id,title,published_at,views,likes,comments
vIHslCqR--w,Phone வெடித்து பலி 🔥 - Reason Behind Mobile Blast?🤔,2024-09-25T13:05:16Z,446277,33979,1832
qL4cxlsSYM0,Apple iPhone iOS18 Issues!😲 - Battery Percentage Dropped 🔋🔻,2024-09-24T13:00:17Z,639781,64454,999
Ykd82-IKpE4,Dark Side of IT Job💀- IT-வேலை மோசமா? | Fresher To Experienced Issues,2024-09-22T12:30:31Z,554668,36758,1711
bj_3GETUv7s,"PC for ""Gymies"" ft @Tharunkumar_ GymBoi 😂 - Fun PC Review 🤘",2024-09-21T11:03:01Z,354056,27637,922
dEgbzLbeStw,Hiphop Adhi Studio Tour 🤘 ft @hiphoptamizha | VFX Done by A2D? 🔥,2024-09-19T12:42:06Z,836886,63843,943
oFJ1-n7XlEk,Flipkart iPhone Scam - Free Apple iPhone 16 Giveaway 🤩🎁 | Flipkart Price SCAM? ⚠,2024-09-18T13:17:27Z,1112950,84882,624
_n7JGnE6kYI,"Making ""Ai Movie"" 🤯 - Ft. GVM, Pavi Teacher & A2D Soldier 🤙- 100% Ai",2024-09-18T12:30:27Z,637531,65388,2041
OZck6toYSrM,Tamilr@ckers Admin Arrested😲 - is Piracy Wrong? 🤔,2024-09-15T06:01:03Z,760055,49448,1764
C9OC_ISwE_o,Phone OS போடுவது எப்படி? 🤔 - Custom ROM Android OS 🔥,2024-09-13T12:17:07Z,531170,40791,2002
GeArGcBDHjc,"விளக்கு பிடித்த PC-DOC 🔦 | Rs.1,00,000/- Studio Upgrade 🤑",2024-09-12T12:30:12Z,560297,71975,202
-P2eIasa5fI,Apple iPhone 16  Waste? 👎 | No Steve Jobs ❌ No Innovations ❎,2024-09-11T13:41:17Z,834299,47328,1786
PsIkAewfBxY,டேய் Royal Enfield - ஒத்தைக்கு ஒத்த வாடா 🥊👿 | Royal Enfield Issue,2024-09-10T12:30:29Z,1134698,112756,361
E7I1QWhFL7w,Camera காணோம் 😢- Delhi Ritchie Street | TTF Shop?🤔,2024-09-08T06:14:24Z,614579,38274,1058
